Original Node,Mapped Node
0,1
1582,2
3164,3
4746,4
6328,5
7910,6
9492,7
11074,8
12656,9
14238,10
15820,11
17402,12
18984,13
20566,14
22148,15
23730,16
25312,17
26894,18
28476,19
30058,20
31640,21
33222,22
34804,23
36386,24
37968,25
39550,26
41132,27
42714,28
44296,29
45878,30
47460,31
49042,32
50624,33
52206,34
53788,35
55370,36
56952,37
58534,38
60116,39
61698,40
63280,41
64862,42
66444,43
68026,44
69608,45
71190,46
72772,47
74354,48
75936,49
77518,50
79100,51
80682,52
82264,53
83846,54
85428,55
87010,56
88592,57
90174,58
91756,59
93338,60
94920,61
96502,62
98084,63
99666,64
101248,65
102830,66
104412,67
105994,68
107576,69
109158,70
110740,71
112322,72
113904,73
115486,74
117068,75
118650,76
120232,77
121814,78
123396,79
124978,80
126560,81
128142,82
129724,83
131306,84
132888,85
134470,86
136052,87
137634,88
139216,89
140798,90
142380,91
143962,92
145544,93
147126,94
148708,95
150290,96
151872,97
153454,98
155036,99
156618,100
158200,101
159782,102
161364,103
162946,104
164528,105
166110,106
167692,107
169274,108
170856,109
172438,110
174020,111
175602,112
177184,113
178766,114
180348,115
181930,116
183512,117
185094,118
186676,119
188258,120
189840,121
191422,122
193004,123
194586,124
196168,125
197750,126
199332,127
200914,128
202496,129
204078,130
205660,131
207242,132
208824,133
210406,134
211988,135
213570,136
215152,137
216734,138
218316,139
219898,140
221480,141
223062,142
224644,143
226226,144
227808,145
229390,146
230972,147
232554,148
234136,149
235718,150
237300,151
238882,152
240464,153
242046,154
243628,155
245210,156
246792,157
248374,158
249956,159
251538,160
253120,161
254702,162
256284,163
257866,164
259448,165
261030,166
262612,167
264194,168
265776,169
267358,170
268940,171
270522,172
272104,173
273686,174
275268,175
276850,176
278432,177
280014,178
281596,179
283178,180
284760,181
286342,182
287924,183
289506,184
291088,185
292670,186
294252,187
295834,188
297416,189
298998,190
300580,191
302162,192
303744,193
305326,194
306908,195
308490,196
310072,197
311654,198
313236,199
314818,200
316400,201
317982,202
319564,203
321146,204
322728,205
324310,206
325892,207
327474,208
329056,209
330638,210
332220,211
333802,212
335384,213
336966,214
338548,215
340130,216
341712,217
343294,218
344876,219
346458,220
348040,221
349622,222
351204,223
352786,224
354368,225
355950,226
357532,227
359114,228
360696,229
362278,230
363860,231
365442,232
367024,233
368606,234
370188,235
371770,236
373352,237
374934,238
376516,239
378098,240
379680,241
381262,242
382844,243
384426,244
386008,245
387590,246
389172,247
390754,248
392336,249
393918,250
395500,251
397082,252
398664,253
400246,254
401828,255
403410,256
404992,257
406574,258
408156,259
409738,260
411320,261
412902,262
414484,263
416066,264
417648,265
419230,266
420812,267
422394,268
423976,269
425558,270
427140,271
428722,272
430304,273
431886,274
433468,275
435050,276
436632,277
438214,278
439796,279
441378,280
442960,281
444542,282
446124,283
447706,284
449288,285
450870,286
452452,287
454034,288
455616,289
457198,290
458780,291
460362,292
461944,293
463526,294
465108,295
466690,296
468272,297
469854,298
471436,299
473018,300
474600,301
476182,302
477764,303
479346,304
480928,305
482510,306
484092,307
485674,308
487256,309
488838,310
490420,311
492002,312
493584,313
495166,314
496748,315
498330,316
499912,317
501494,318
503076,319
504658,320
506240,321
507822,322
509404,323
510986,324
512568,325
514150,326
515732,327
517314,328
518896,329
520478,330
522060,331
523642,332
525224,333
526806,334
528388,335
529970,336
531552,337
533134,338
534716,339
536298,340
537880,341
539462,342
541044,343
542626,344
544208,345
545790,346
547372,347
548954,348
550536,349
552118,350
553700,351
555282,352
556864,353
558446,354
560028,355
561610,356
563192,357
564774,358
566356,359
567938,360
569520,361
571102,362
572684,363
574266,364
575848,365
577430,366
579012,367
580594,368
582176,369
583758,370
585340,371
586922,372
588504,373
590086,374
591668,375
593250,376
594832,377
596414,378
597996,379
599578,380
601160,381
602742,382
604324,383
605906,384
607488,385
609070,386
610652,387
612234,388
613816,389
615398,390
616980,391
618562,392
620144,393
621726,394
623308,395
624890,396
626472,397
628054,398
629636,399
631218,400
632800,401
634382,402
635964,403
637546,404
639128,405
640710,406
642292,407
643874,408
645456,409
647038,410
648620,411
650202,412
651784,413
653366,414
654948,415
656530,416
658112,417
659694,418
661276,419
662858,420
664440,421
666022,422
667604,423
669186,424
670768,425
672350,426
673932,427
675514,428
677096,429
678678,430
680260,431
681842,432
683424,433
685006,434
686588,435
688170,436
689752,437
691334,438
692916,439
694498,440
696080,441
697662,442
699244,443
700826,444
702408,445
703990,446
705572,447
707154,448
708736,449
710318,450
711900,451
713482,452
715064,453
716646,454
718228,455
719810,456
721392,457
722974,458
724556,459
726138,460
727720,461
729302,462
730884,463
732466,464
734048,465
735630,466
737212,467
738794,468
740376,469
741958,470
743540,471
745122,472
746704,473
748286,474
749868,475
751450,476
753032,477
754614,478
756196,479
757778,480
759360,481
760942,482
762524,483
764106,484
765688,485
767270,486
768852,487
770434,488
772016,489
773598,490
775180,491
776762,492
778344,493
779926,494
781508,495
783090,496
784672,497
786254,498
787836,499
789418,500
791000,501
